,city,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,Maragogi,-9.0122,-35.2225,77.4,81,36,16.22,BR,1627917526
302,Vanavara,60.34,102.2797,62.44,64,100,4.14,RU,1627917769
303,Hue,16.4667,107.6,89.71,55,40,4.61,VN,1627917770
304,Kieta,-6.2167,155.6333,77.83,86,25,2.59,PG,1627917770
305,Longyearbyen,78.2186,15.6401,48.04,71,75,17.27,SJ,1627917661
306,Bad Doberan,54.1071,11.9005,68.11,67,49,14.97,DE,1627917704
307,Mombaça,-5.7431,-39.6275,89.29,29,14,8.19,BR,1627917771
308,Salta,-24.7859,-65.4117,61.09,37,0,1.99,AR,1627917501
309,Saint-Joseph,-21.3667,55.6167,68.38,77,33,5.14,RE,1627917772
310,Malaya Vishera,58.8454,32.2222,62.22,95,100,10.33,RU,1627917772
311,Otukpo,7.1913,8.1329,79.99,84,96,6.13,NG,1627917773
312,Faanui,-16.4833,-151.75,78.98,68,88,14.45,PF,1627917773
313,Kaeo,-35.1,173.7833,54.32,82,4,16.6,NZ,1627917773
314,Valera,9.3178,-70.6036,87.87,48,92,3.18,VE,1627917773
315,Ishinomaki,38.4167,141.3,77.25,94,88,14.27,JP,1627917774
316,Jiuquan,39.7432,98.5174,72.88,39,2,7.16,CN,1627917775
317,Poronaysk,49.2167,143.1167,57.02,88,5,3.44,RU,1627917776
318,Turaif,31.6725,38.6637,97.05,12,0,11.5,SA,1627917689
319,Bandar,2.05,99.75,74.84,93,44,1.79,ID,1627917779
320,Smithers,54.7804,-127.1743,64.72,72,20,4.61,CA,1627917781
321,Dryden,49.7833,-92.7503,70.09,56,1,6.91,CA,1627917781
322,La Romana,18.4273,-68.9728,88.16,62,40,13.8,DO,1627917782
323,Sokoto,13.0609,5.239,81.72,65,100,10.83,NG,1627917783
324,Buraidah,26.326,43.975,106.25,5,1,4.0,SA,1627917784
325,Poção de Pedras,-4.6667,-44.85,92.64,27,83,8.03,BR,1627917785
326,Buchanan,5.8808,-10.0467,85.96,62,57,9.89,LR,1627917786
327,Arlit,18.7369,7.3853,103.96,20,34,15.03,NE,1627917787
328,Larsnes,62.2028,5.5773,63.01,63,38,15.23,NO,1627917789
329,Kavieng,-2.5744,150.7967,82.38,78,12,13.31,PG,1627917789
330,Coruripe,-10.1256,-36.1756,77.34,74,32,15.1,BR,1627917628
331,Tiznit Province,29.5833,-9.5,80.37,35,0,12.08,MA,1627917792
332,Colares,38.7992,-9.4469,80.28,66,40,13.8,PT,1627917793
333,Uray,60.1247,64.7758,66.4,68,78,4.5,RU,1627917794
334,Nieuw Amsterdam,5.8833,-55.0833,87.82,62,75,6.91,SR,1627917795
335,Pueblo,38.2545,-104.6091,75.9,71,1,3.44,US,1627917776
336,Chunoyar,57.4467,97.3217,58.39,91,34,2.26,RU,1627917796
337,Rustenburg,-25.6676,27.2421,73.6,8,0,11.45,ZA,1627917797
338,Provideniya,64.3833,-173.3,43.95,96,100,14.52,RU,1627917798
339,Matara,5.9485,80.5353,78.24,87,100,12.44,LK,1627917798
340,Avera,33.194,-82.5271,87.44,53,97,3.87,US,1627917799
